# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
stats,FRONTEND,,,0,1,9000,2,2258,1201856,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,1,,,,0,5,0,0,0,0,,0,2,5,,,1201266,48385,0,5,,,,,,,,,,,,,,,,,,,,,http,,0,1,2,5,0,0,
stats,BACKEND,0,0,0,0,900,0,2258,1201856,0,0,,0,0,0,0,UP,0,0,0,,0,5912011,,,1,2,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,1201266,48385,0,0,3019913,,,0,0,1,12,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http-front-http_x01,FRONTEND,,,0,0,9000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,3,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
http-front-http_x02,FRONTEND,,,0,0,9000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
http-front-http_x03,FRONTEND,,,0,28,9000,79,868087,11267846,0,0,0,,,,,OPEN,,,,,,,,,1,5,0,,,,0,0,0,24,,,,0,3620,0,18,0,0,,0,179,3638,,,9194,5454,0,22,,,,,,,,,,,,,,,,,,,,,http,,0,24,79,0,0,0,
http-front-http_x04,FRONTEND,,,0,6,9000,174,1875503,15425628,0,0,4,,,,,OPEN,,,,,,,,,1,6,0,,,,0,0,0,6,,,,0,1035,9,49,6,0,,0,39,1099,,,60,959,0,29,,,,,,,,,,,,,,,,,,,,,http,,0,6,184,0,0,0,
http_backend_backend_h02,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,1,1,5351557,0,,1,7,1,,0,,2,0,,0,L7OK,200,0,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:8085,,http,,,,,,,,
http_backend_backend_h02,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,7,2,,0,,2,0,,0,L7OK,200,0,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:8085,,http,,,,,,,,
http_backend_backend_h02,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,7,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_h01,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,1,1,5351557,0,,1,8,1,,0,,2,0,,0,L7OK,200,0,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:8086,,http,,,,,,,,
http_backend_backend_h01,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,8,2,,0,,2,0,,0,L7OK,200,0,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:8086,,http,,,,,,,,
http_backend_backend_h01,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,8,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j14,frontA.server,0,0,0,7,,15,17008,43159,,0,,0,0,0,0,UP,1,1,0,66,64,91357,1655,,1,9,1,,15,,2,0,,7,L7OK,200,2,0,15,0,0,0,0,,,,,0,0,,,,,1209269,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11004,,http,,,,,,,,
http_backend_backend_j14,frontB.server,0,0,0,8,,17,16431,25738,,0,,0,0,0,0,UP,1,1,0,53,51,91558,924,,1,9,2,,14,,2,0,,8,L7OK,200,2,0,17,0,0,0,0,,,,,0,0,,,,,1209271,HTTP content check matched,,0,0,1,5,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11004,,http,,,,,,,,
http_backend_backend_j14,BACKEND,0,0,0,15,1800,32,33439,68897,0,0,,0,0,0,0,UP,2,2,0,,36,2755297,1507,,1,9,0,,29,,1,0,,15,,,,0,32,0,0,0,0,,,,32,0,0,0,0,0,0,1209269,,,0,0,2,6,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j13,apigwA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,585791,5,,1,10,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.40:11005,,http,,,,,,,,
http_backend_backend_j13,apigwB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,583892,5,,1,10,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.41:11005,,http,,,,,,,,
http_backend_backend_j13,BACKEND,0,0,0,0,2700,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,10,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j12,frontA.server,0,0,0,1,,19,13626,3283,,0,,0,0,0,0,UP,1,1,0,7,7,86236,828,,1,11,1,,8,,2,0,,2,L7OK,200,1,0,19,0,0,0,0,,,,,0,0,,,,,1209265,HTTP content check matched,,0,0,1,50,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11285,,http,,,,,,,,
http_backend_backend_j12,frontB.server,0,0,0,1,,11,7599,1899,,0,,0,0,0,0,UP,1,1,0,10,10,86351,97,,1,11,2,,7,,2,0,,2,L7OK,200,2,0,11,0,0,0,0,,,,,0,0,,,,,1209265,HTTP content check matched,,0,0,1,37,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11285,,http,,,,,,,,
http_backend_backend_j12,BACKEND,0,0,0,1,1800,30,21225,5182,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,11,0,,15,,1,0,,3,,,,0,30,0,0,0,0,,,,30,0,0,56,924,0,28,1209265,,,0,0,1,85,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j11,apigwA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,9,9,86124,96,,1,12,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.40:12005,,http,,,,,,,,
http_backend_backend_j11,apigwB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,12,12,85963,88,,1,12,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.41:12005,,http,,,,,,,,
http_backend_backend_j11,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,12,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j10,apigwA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,9,9,86077,102,,1,13,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.40:12015,,http,,,,,,,,
http_backend_backend_j10,apigwB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,7,7,85957,94,,1,13,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.41:12015,,http,,,,,,,,
http_backend_backend_j10,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,13,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j09,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,7,7,583628,750,,1,14,1,,0,,2,0,,0,L7OK,200,3,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11135,,http,,,,,,,,
http_backend_backend_j09,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,5,5,582963,17,,1,14,2,,0,,2,0,,0,L7OK,200,3,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11135,,http,,,,,,,,
http_backend_backend_j09,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,1,4896185,1043,,1,14,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j08,frontA.server,0,0,0,3,,1625,378357,8084912,,0,,0,0,0,0,UP,1,1,0,138,138,453,1022,,1,15,1,,37,,2,0,,101,L7OK,200,1,0,1617,2,6,0,0,,,,,0,0,,,,,412110,HTTP content check matched,,0,0,7,39,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11095,,http,,,,,,,,
http_backend_backend_j08,frontB.server,0,0,0,3,,1989,458492,5878100,,0,,0,0,0,0,UP,1,1,0,137,137,1117,296,,1,15,2,,37,,2,0,,150,L7OK,200,2,0,1965,7,17,0,0,,,,,0,0,,,,,415686,HTTP content check matched,,0,0,7,27,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11095,,http,,,,,,,,
http_backend_backend_j08,BACKEND,0,0,0,5,1800,3614,836849,13963012,0,0,,0,0,0,0,UP,2,2,0,,26,29914,12122,,1,15,0,,74,,1,0,,168,,,,0,3582,9,23,0,0,,,,3614,0,0,0,0,0,0,412110,,,0,0,8,58,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j07,frontA.server,0,0,0,1,,1,461,236,,0,,0,0,0,0,UP,1,1,0,824,785,558780,754,,1,16,1,,1,,2,0,,1,L7OK,200,3,0,1,0,0,0,0,,,,,0,0,,,,,1209290,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11305,,http,,,,,,,,
http_backend_backend_j07,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,718,678,304412,20,,1,16,2,,0,,2,0,,0,L7OK,200,3,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11305,,http,,,,,,,,
http_backend_backend_j07,BACKEND,0,0,0,1,1800,1,461,236,0,0,,0,0,0,0,UP,2,2,0,,307,558783,16185,,1,16,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209290,,,0,0,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j06,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,6,6,583822,749,,1,17,1,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11355,,http,,,,,,,,
http_backend_backend_j06,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,7,7,583164,18,,1,17,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11355,,http,,,,,,,,
http_backend_backend_j06,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,17,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j05,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,10,10,578641,754,,1,18,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11185,,http,,,,,,,,
http_backend_backend_j05,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,9,9,578773,26,,1,18,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11185,,http,,,,,,,,
http_backend_backend_j05,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,18,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_j04,frontA.server,0,0,0,4,,10,5189,5866,,0,,0,0,0,0,UP,1,1,0,2,2,583576,743,,1,19,1,,9,,2,0,,4,L7OK,200,1,0,10,0,0,0,0,,,,,0,0,,,,,1209309,HTTP content check matched,,0,0,1,3,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11065,,http,,,,,,,,
http_backend_backend_j04,frontB.server,0,0,0,4,,13,6726,7277,,0,,0,0,0,0,UP,1,1,0,1,1,582913,10,,1,19,2,,10,,2,0,,4,L7OK,200,1,0,13,0,0,0,0,,,,,0,0,,,,,1209291,HTTP content check matched,,0,1,1,5,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11065,,http,,,,,,,,
